iter	Logloss
0	0.4648612259
1	0.342239169
2	0.2681937619
3	0.2210386828
4	0.1895027813
5	0.1691824082
6	0.1557816278
7	0.1469657953
8	0.1406936907
9	0.1349819765
10	0.1315353241
11	0.1293687956
12	0.1273911057
13	0.1246995921
14	0.1232098045
15	0.1221492835
16	0.1211867852
17	0.119788962
18	0.1188175445
19	0.1178068131
20	0.1169456966
21	0.1159621842
22	0.113810949
23	0.1133771489
24	0.11275353
25	0.1116643376
26	0.1111714526
27	0.1101757031
28	0.1095818631
29	0.10834426
30	0.1078110185
31	0.1053994795
32	0.1051184456
33	0.104399462
34	0.1035312201
35	0.1033487785
36	0.1019988186
